event_count,trial,seed,query_type,sample_position,query_key,row_count,row_sha256,full_indexes_connect_plus_first_query_ms,no_service_index_connect_plus_first_query_ms,no_correlation_index_connect_plus_first_query_ms,no_lookup_indexes_connect_plus_first_query_ms
10000,3,9440,service,10,svc-0114,54,f79f071d6b6dd27f436f4c36d6b214497db6011b03e50c933834adfe783e44e5,0.172167,0.871916,0.159125,0.876416
10000,3,9440,service,11,svc-0144,54,b10cae566015fc955c0f048690706ccfa05341a39250d0d98c0b93062a67037d,0.168083,0.924292,0.158,0.92875
10000,3,9440,service,12,svc-0171,48,584b8ff00733a5cde9a99d842d236c050119bc76d47e34576a1fa45fe2c78233,0.162666,0.881166,0.150417,0.903209
10000,3,9440,service,13,svc-0085,54,a8c50436844dcca7221831f0eb0ebd8981ac6c81d7d08956303e59645a780493,0.16125,0.86875,0.15825,0.880083
10000,3,9440,service,14,svc-0168,54,61db39bf50475dee7790673d303c0a830ff12bf0be421b62218479c81ba7fc0b,0.198458,0.941792,0.167584,1.031208
10000,3,9440,service,15,svc-0191,48,452a826b7b6aa3ebf5aeab16d519b142d3a6bd77dea36fbd57fea0de60db6a6b,0.141291,0.839708,0.158208,0.839041
10000,3,9440,service,16,svc-0174,48,18b040087a5c42bda68dfa090f43b21e0079992e2dfa3e92046eddcae796c381,0.151292,0.880166,0.150708,0.852625
10000,3,9440,service,17,svc-0132,48,b5438565c25cb28b6cf470a3120c7439b69515072e72028016365ab27882bf6d,0.142417,0.884083,0.139291,0.985792
10000,3,9440,service,18,svc-0111,48,bf78a0c7a1435d0e7dafbd9902c5f2b7f9a088e6babd1aa640b62bd0abf1a359,0.150834,0.927083,0.155959,0.889125
10000,3,9440,service,19,svc-0042,48,423e791022e950175ddc78680840564025b400871b438c739d61081630995957,0.146292,0.874917,0.141542,0.866417
10000,3,9440,correlation,0,corr-9440-00001665,6,2e03f356b3459233c4ba0ab0dc267ab89f0e2a2727476743bba8d850d626e8ff,0.107333,0.102666,0.928125,1.038458
10000,3,9440,correlation,1,corr-9440-00000078,6,c928f04ed45c7bdc49ace479dc11f57aeba64b2de7e656d22c2484562f9f59dd,0.108125,0.186541,0.914417,0.855167
10000,3,9440,correlation,2,corr-9440-00001594,6,3a9889ad45cb2b883c33a3ecc3a77098478661a98736caf93b1d6369cc9d27d8,0.107125,0.101625,0.841875,0.834834
10000,3,9440,correlation,3,corr-9440-00001454,6,2c29bdf694408ff78634c8651b07fb3068bde3399a2f26b521248ce79cfef1d3,0.102417,0.10275,0.867292,0.829667
